GI,count,cumsum
0.10763169267707083,1,4421
0.10786314525810324,1,4422
0.10841632653061226,1,4423
0.10890000000000001,151,4574
0.10901224489795919,2,4576
0.10904557823129252,1,4577
0.10906666666666667,1,4578
0.10955882352941176,1,4579
0.10956776950780313,1,4580
0.10961428571428572,1,4581
0.10962448979591836,1,4582
0.10996698679471789,2,4584
0.11032857142857144,2,4586
0.11074129651860745,1,4587
0.11080184073629452,1,4588
0.11101764705882353,1,4589
0.1114061224489796,2,4591
0.11142857142857143,1,4592
0.11175714285714287,1,4593
0.11224489795918367,7,4600
0.11247142857142858,1,4601
0.11260408163265306,2,4603
0.11263061224489795,1,4604
0.11306122448979591,1,4605
0.11319727891156463,1,4606
0.11342380952380954,1,4607
0.11352040816326531,1,4608
0.11371632653061226,3,4611
0.1137686674669868,1,4612
0.11379615846338537,1,4613
0.11400204081632655,1,4614
0.11428571428571428,1,4615
0.11465882352941177,1,4616
0.11475294117647059,1,4617
0.11486290516206484,1,4618
0.11489231692677071,1,4619
0.11509639855942377,1,4620
0.11551020408163265,1,4621
0.11560000000000002,171,4792
0.11617346938775511,1,4793
0.1164235294117647,1,4794
0.11650660264105642,1,4795
0.11650816326530612,3,4798
0.11653993597438975,1,4799
0.11655238095238098,1,4800
0.1165765906362545,1,4801
0.11712585034013605,1,4802
0.11734693877551021,6,4808
0.11748299319727891,1,4809
0.11750476190476193,1,4810
0.11764705882352941,22,4832
0.11845714285714289,3,4835
0.11862040816326531,2,4837
0.11865102040816328,1,4838
0.11869523809523812,1,4839
0.11881836734693879,1,4840
0.11898823529411764,1,4841
0.11910408163265307,1,4842
0.11921632653061226,1,4843
0.1193877551020408,1,4844
0.11971764705882353,1,4845
0.11974621848739496,1,4846
0.1198142857142857,1,4847
0.11995882352941177,2,4849
0.12020408163265307,1,4850
0.12036190476190478,1,4851
0.1204809523809524,1,4852
0.12061224489795919,1,4853
0.12070204081632656,1,4854
0.12083809523809526,1,4855
0.1213235294117647,1,4856
0.12160864345738295,1,4857
0.12161020408163266,2,4859
0.12180464345738296,1,4860
0.12189764345738295,1,4861
0.1223529411764706,1,4862
0.12240896358543417,1,4863
0.12244897959183673,11,4874
0.12249999999999998,165,5039
0.12280816326530612,1,5040
0.12345238095238094,1,5041
0.12358943577430972,1,5042
0.12372448979591837,1,5043
0.12392040816326531,1,5044
0.1242061224489796,1,5045
0.12448979591836734,1,5046
0.12482993197278912,1,5047
0.12488095238095237,1,5048
0.12491632653061224,2,5050
0.1254588235294118,2,5052
0.12556086434573832,1,5053
0.12571428571428572,1,5054
0.1257470588235294,1,5055
0.12580408163265308,2,5057
0.1264235294117647,1,5058
0.12645294117647057,2,5060
0.1265176470588235,1,5061
