Област,badm,top_student,class_score,class_rank
София-град,1,0.6209166432552539,0.6134991547918567,12.0
София-град,1,0.6029166943802898,0.5885670771943043,16.0
Стара Загора,1,0.7281314975701633,0.5197808549522164,31.0
Стара Загора,1,0.46629728955702265,0.4523630846268163,77.0
Стара Загора,1,0.4412973958522904,0.4312083662979041,103.0
Стара Загора,1,0.42305388993742715,0.3991010921309084,201.0
Хасково,1,0.7551766748289637,0.5073688218012815,39.0
Хасково,1,0.45686955310911326,0.43437954859848904,97.0
Шумен,1,0.6305850983055683,0.490870813863209,49.0
Шумен,1,0.4422167568776688,0.42467077416467675,116.0
Ямбол,1,0.5709736285624993,0.4708595601467837,60.0
Ямбол,1,0.4278623573747688,0.40107150284225934,189.0
Благоевград,0,0.4927132437046919,0.453015082715523,75.0
Благоевград,0,0.4357496570292547,0.4282779947465435,110.0
Благоевград,0,0.42114242613937386,0.4170973053797138,131.0
Благоевград,0,0.4125578515439652,0.4092738827898434,154.0
Благоевград,0,0.4068711439309314,0.40448212348154056,175.0
Благоевград,0,0.40186023508450347,0.4000808645787505,194.0
Благоевград,0,0.3967963418349133,0.3951007374022242,219.0
Благоевград,0,0.3938071582275228,0.3922384774819143,234.0
Благоевград,0,0.3909960746441333,0.38983112958002963,251.0
Благоевград,0,0.3892912395428649,0.38752055845918254,262.0
Благоевград,0,0.3858944342725626,0.38540224137047296,277.0
Благоевград,0,0.3847251452254043,0.38360942803938275,288.0
Благоевград,0,0.38251134526759434,0.38189929270381096,304.0
Благоевград,0,0.3814661550705026,0.38014212063296654,318.0
Благоевград,0,0.3794975949624941,0.3787077152112133,334.0
Благоевград,0,0.3776894804141942,0.37716969330004724,345.0
Благоевград,0,0.37603961090274385,0.37549113535931794,357.0
Благоевград,0,0.37454598450671966,0.37288793184893515,379.0
Благоевград,0,0.37148409029334767,0.3697908007615126,399.0
Бургас,0,0.6109655332582418,0.5078774590343065,38.0
Бургас,0,0.4873095105185077,0.47208854964372965,58.0
Бургас,0,0.4599314707511673,0.44811757543210007,81.0
Бургас,0,0.4378498176472532,0.4306806040276154,104.0
Бургас,0,0.4243343490217973,0.4200666578601521,125.0
Бургас,0,0.4166002799345478,0.41189549466996017,147.0
Бургас,0,0.4068711439309314,0.404602579646593,174.0
Бургас,0,0.40162230493043344,0.39964662607080037,197.0
Бургас,0,0.39835888055717306,0.39650486595753826,213.0
Бургас,0,0.3938071582275228,0.39232495867712747,232.0
Бургас,0,0.3909960746441333,0.3892575695915983,254.0
Бургас,0,0.38835958974217566,0.38737098017398075,264.0
Бургас,0,0.3858944342725626,0.384326539744483,284.0
Бургас,0,0.38251134526759434,0.3813132925479267,309.0
Бургас,0,0.3804616739118294,0.3792219856674417,330.0
Бургас,0,0.3776894804141942,0.37667269849554913,349.0
Бургас,0,0.37603961090274385,0.3750008433193219,365.0
Бургас,0,0.3738571901769653,0.37284518320011045,380.0
Варна,0,0.6283887810030714,0.554845190137125,23.0
Варна,0,0.5328609959095112,0.519645205968089,32.0
Варна,0,0.5039078566058062,0.49552338712303295,47.0
Варна,0,0.4872878678457103,0.48001941326882386,53.0
Варна,0,0.4744609706054615,0.4679158648608273,64.0
Варна,0,0.4630308050850809,0.4584229939444715,68.0
Варна,0,0.4538714689937964,0.44935132219605717,80.0
Варна,0,0.44037986726100814,0.435913193315519,95.0
Варна,0,0.43241640677009985,0.42934589092627695,107.0
Варна,0,0.42597215411280576,0.42288883010315764,119.0
Варна,0,0.41869880812713217,0.4156837480162122,134.0
Варна,0,0.4130945409846561,0.4115345049557554,148.0
Варна,0,0.40875077275338995,0.40760324202548526,160.0
Варна,0,0.40556707658500796,0.4039482604221294,176.0
Варна,0,0.40291003063389424,0.40126310592193065,188.0
Варна,0,0.3999673661669091,0.3981928085802074,205.0
Варна,0,0.3967963418349133,0.39518968998140813,218.0
Варна,0,0.3938071582275228,0.39237381720828507,230.0
Варна,0,0.3909960746441333,0.39001842323893027,248.0
Варна,0,0.38835958974217566,0.3870433112929433,267.0
Варна,0,0.3858944342725626,0.3852536692210949,279.0
Варна,0,0.3835975643259802,0.38319592761634197,292.0
Варна,0,0.38251134526759434,0.38121665814955896,311.0
